"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2017-04-28T19:13:36.806+03:00","0.0","11.81"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2017-04-28T19:13:48.912+03:00","0.0","6.76"
