"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","ERROR","2017-04-27T23:08:11.046+03:00","0.0","0.39"
"Lookup a definition","Looking up the definition of 'pear'","ERROR","2017-04-27T23:08:11.663+03:00","0.0","0.15"
